report_month,listings,sales,median_price,months_inventory,yoy_listings_pct,yoy_sales_pct,yoy_price_pct,yoy_inventory_pct,mom_listings_pct,mom_sales_pct,mom_price_pct,mom_inventory_pct,source_pdf,parsed_at,parse_status,parse_notes,built_at
2024-01,42363.0,8410.0,306705.0,3.4,-5.361570940285504,-5.260786301678495,9.5375,,,,,,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55,OK,,2026-03-10 18:34:01
2024-02,42973.0,9550.0,310036.0,3.46,-5.078194027213288,-5.892786756011037,10.333096085409252,,1.4399357930269339,13.555291319857313,1.0860598946870772,1.764705882352943,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34,OK,,2026-03-10 18:34:01
2024-03,48689.0,12356.0,312881.0,3.9,5.602307725675617,-13.218148616378706,7.151027397260274,,13.30137528215391,29.38219895287958,0.9176353713762273,12.716763005780345,data\pdfs\nc_housing_2024-03.pdf,2026-02-23 15:48:36,OK,,2026-03-10 18:34:01
2024-04,50403.0,12970.0,362500.0,4.09,6.847137133529774,1.8933144787493126,3.571428571428571,,3.5203023270143152,4.96924571058595,15.858745018073964,4.8717948717948705,data\pdfs\nc_housing_2024-04.pdf,2026-03-04 11:14:35,OK,,2026-03-10 18:34:01
2024-05,52058.0,14499.0,367367.0,4.21,9.708962930180608,-1.3472137170851195,2.046388888888889,,3.283534710235502,11.788743253662298,1.3426206896551725,2.9339853300733525,data\pdfs\nc_housing_2024-05.pdf,2026-03-04 11:14:35,OK,,2026-03-10 18:34:01
2024-06,52188.0,12698.0,374700.0,4.23,12.18641845267525,-19.090098126672615,4.083333333333333,,0.2497214645203427,-12.421546313538864,1.996096546505266,0.4750593824228138,data\pdfs\nc_housing_2024-06.pdf,2026-03-04 11:14:35,OK,,2026-03-10 18:34:01
2024-07,51955.0,12889.0,370000.0,4.29,10.56372496861101,-0.18585921164717725,1.6483516483516485,,-0.4464627883804706,1.5041738856512836,-1.254336802775554,1.4184397163120472,data\pdfs\nc_housing_2024-07.pdf,2026-03-04 11:14:35,OK,,2026-03-10 18:34:01
2024-08,53008.0,12544.0,370000.0,4.41,12.975277067348678,-10.744272093354205,3.35195530726257,,2.0267539216629773,-2.6767010629218713,0.0,2.7972027972027997,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,OK,,2026-03-10 18:34:01
2024-09,53560.0,10506.0,365000.0,4.49,13.117489281716615,-14.620073140999592,2.8169014084507045,,1.0413522487171747,-16.246811224489797,-1.3513513513513513,1.8140589569161012,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,OK,,2026-03-10 18:34:01
2024-10,53402.0,11572.0,366900.0,4.48,10.510522939387041,-2.45300514203827,3.352112676056338,,-0.2949962658700523,10.146582905006662,0.5205479452054794,-0.22271714922048524,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,OK,,2026-03-10 18:34:01
2024-11,51887.0,9918.0,364900.0,4.35,9.327855035819638,-8.547717842323651,3.664772727272727,,-2.8369723980375268,-14.29312132734186,-0.5451076587626056,-2.9017857142857313,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,OK,,2026-03-10 18:34:01
2024-12,49391.0,11372.0,365000.0,4.0,11.620601595516284,9.35666891047216,4.285714285714286,,-4.810453485458786,14.660213752772735,0.027404768429706773,-8.045977011494246,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,OK,,2026-03-10 18:34:01
2025-01,50825.0,8861.0,354900.0,4.09,19.974978164908055,5.362663495838288,15.713796644984596,20.294117647058822,2.903362960863315,-22.080548716144918,-2.767123287671233,2.2499999999999964,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,OK,,2026-03-10 18:34:01
2025-02,52513.0,9059.0,352336.0,4.23,22.19998603774463,-5.141361256544503,13.643576874943555,22.25433526011562,3.321200196753566,2.234510777564609,-0.7224570301493378,3.422982885085588,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,OK,,2026-03-10 18:34:01
2025-03,52513.0,9059.0,352336.0,4.23,7.8539300458009,-26.683392683716413,12.610225612932712,8.461538461538474,0.0,0.0,0.0,0.0,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,WARN,missing listings history (y1..y3); missing sales history (y1..y3); missing price history (y1..y3),2026-03-10 18:34:01
2025-04,62797.0,12264.0,368000.0,5.19,24.589806162331605,-5.443330763299923,1.5172413793103448,26.894865525672383,19.583722125949766,35.37918092504692,4.445756323509378,22.695035460992905,data\pdfs\nc_housing_2025-04.pdf,2026-03-04 11:14:36,OK,,2026-03-10 18:34:01
2025-05,67506.0,13296.0,374994.0,5.7,29.674593722386568,-8.29712393958204,2.076125509368016,35.39192399049882,7.498765864611366,8.414872798434441,1.9005434782608694,9.826589595375717,data\pdfs\nc_housing_2025-05.pdf,2026-03-04 11:14:36,OK,,2026-03-10 18:34:01
2025-06,67143.0,13831.0,380000.0,5.68,28.65601287652334,8.922664986612066,1.4144649052575393,34.27895981087468,-0.5377299795573727,4.023766546329723,1.334954692608415,-0.3508771929824642,data\pdfs\nc_housing_2025-06.pdf,2026-03-04 11:14:37,OK,,2026-03-10 18:34:01
2025-07,67370.0,12717.0,375000.0,5.67,29.669906649985567,-1.3344712545581503,1.3513513513513513,32.16783216783217,0.3380843870544956,-8.054370616730534,-1.3157894736842104,-0.17605633802816525,data\pdfs\nc_housing_2025-07.pdf,2026-03-04 11:14:37,OK,,2026-03-10 18:34:01
2025-08,67223.0,12330.0,375000.0,5.65,26.8167069121642,-1.7059948979591837,1.3513513513513513,28.117913832199548,-0.21819801098411756,-3.043170559094126,0.0,-0.3527336860670119,data\pdfs\nc_housing_2025-08.pdf,2026-03-04 11:14:37,OK,,2026-03-10 18:34:01
2025-09,66999.0,11819.0,370000.0,5.63,25.09148618371919,12.497620407386254,1.36986301369863,25.38975501113585,-0.3332192850661232,-4.144363341443634,-1.3333333333333335,-0.3539823008849639,data\pdfs\nc_housing_2025-09.pdf,2026-03-04 11:14:37,OK,,2026-03-10 18:34:01
2025-10,66041.0,12423.0,370000.0,5.52,23.667652896895248,7.353957829243001,0.8449168710820387,23.214285714285694,-1.429872087643099,5.110415432777731,0.0,-1.9538188277087092,data\pdfs\nc_housing_2025-10.pdf,2026-03-04 11:14:37,OK,,2026-03-10 18:34:01
2025-11,61933.0,8133.0,380000.0,5.16,19.361304372964327,-17.997580157289775,4.1381200328857215,18.620689655172427,-6.220378249875077,-34.532721564839406,2.7027027027027026,-6.5217391304347725,data\pdfs\nc_housing_2025-11.pdf,2026-02-23 15:13:07,OK,,2026-03-10 18:34:01
